Text,Target,Stance,Sentiment
I believe in SCIENCE.  I wear a mask for YOUR PROTECTION. #JoeBidenForPresident2020 #IStandWithFauci,fauci,FAVOR,pos
"Time to turn off @cnn &amp; @msnbc for the @realDonaldTrump #misinformation show. I listen to everything that  #AndrewCuomo &amp; #DrFauci say, they are the real #Leaders of this #Covid19   #Pandemic. Why don’t we have #MassTesting? #Trump &amp; cronies want it that way. @whpresscorps #Lies",fauci,FAVOR,other
Dr. Fauci for President!!!  #DrFauci #FlattenTheCurve #coronavirus,fauci,FAVOR,pos
“I am reminded of the pied piper fable.   Fauci is trying to save the people by getting rid of rats.   Trump is trying to save rats by getting rid of Fauci.? -Rat SpokesVermin  #SaveFauci #mondaythoughts #COVID19 #FireTrumpNotFauci,fauci,FAVOR,pos
@IngrahamAngle I’ll believe the epidemiology expert #DrFauci over the failed ophthalmologist @RandPaul.  I wouldn’t trust crazy #RandPaul to lance a boil.  Are all @GOP Stupid?  The only way we’re going to beat #Trump’s #coronavirus is electing #Biden President.  #TrumpLiesPeopleDie #VoteBiden,fauci,FAVOR,neg
@MSNBC there needs to be a new broadcast rule for these #TrumpVirusCoverup pressers. No #DrFauci No Broadcasi! #COVID19 #TrumpVirus,fauci,FAVOR,neg
"I love that at the hearings on June 23rd that Dr. Fauci wore a Washington Nationals mask - the team whose fans booed and humiliated Trump, and then went on to win the World Series.  This man is a legend. #FauciHero #DrFauci #AmericaOrTrump",fauci,FAVOR,pos
"Can #DrFauci or #DeborahBirx tell #DonaldTrump that sniffles are not a symptom of #Coronavirus. People with allergies, like me, don't want people thinking it is a symptom. I mean, how can he not know the symptoms?",fauci,FAVOR,neg
` How did @RandPaul get through med school? #Optimism? Maybe that is how he survived #COVID.  Fascinating how #DrFauci surgically counters RP while sounding so sweet.  #coronavirus,fauci,FAVOR,neg
"@jsolomonReports @realDonaldTrump Why RT this?? You and #DrFauci said that states should NOT START the PROCESS of opening up businesses until #coronavirus numbers go down for 2 WEEKS. Then a few of your voters protest #ShelterIn orders &amp; you do a complete reversal. You care about your popularity, not our safety",fauci,FAVOR,neg
"@tedlieu I have a terrible feeling the expected death toll from #COVID19 #coronavirus will be revised higher again, after it was just reduced last week to 60k. Not sure if it was a political stunt. Clearly #hydroxychloriquine isn’t working; false claims. #DrFauci was right.",fauci,FAVOR,other
"I LOVE that @SenSanders is a #Prince fan! I mean, we knew was cool but 👍🏾!  #senate #SenateHearing #COVID19 with #DrAnthonyFauci #DrFauci  #NPG #DRUMHEAD #NewPowerGeneration",fauci,FAVOR,pos
#DrFauci  is like Dr Swann in #vwars trying to save the world and Trump is like Calix and his washed your squad trying to destroy the world with some evil plan  #COVID19 #TrumpLiesPeopleDie #whereisfauci,fauci,FAVOR,other
And now #DrFauci is going into 14 days of self isolation because he too was exposed to the virus. Great job with the White House Coronavirus Task Force gang. We all need to hope that Dr. Fauci will be okay! #Covid_19 #coronavirus,fauci,FAVOR,other
"@bopinion @PhilMurphyNJ @andrewcuomo @News12NJ @PIX11News @WHO How many teachers (veterans, tenor, new) are gonna walk off the job, call out sick because a student decides not to wear a mask and cough intentionally on them #remotelearning is best avoid lawsuits let's be patient #DrFauci",fauci,FAVOR,other
"If Trump was smarter than the scientists and Dr Fauci, we wouldn’t have: 134,000 deaths and counting. Over 3m infected A resurgence of infections, specially in AZ, FL and TX But he isn’t. So we have #TrumpVirus #DonTheCon So #IStandWithFauci",fauci,FAVOR,neg
I'm incredibly grateful that we have Dr. Fauci to lead us through this pandemic and communicate the science we need to make decisions. The administration's silencing of him is dangerous and misguided. #COVID19 #TrustinFauci #ScienceFirst #FauciIsAHero,fauci,FAVOR,other
For speaking the TRUTH about the Coronavirus &amp; not being bullied by @realDonaldTrump  to remain silent #ThankYouDrFauci,fauci,FAVOR,pos
@kenolin1 I quit watching Trump because honestly he lies continually!  I want to hear about #coronavirus from our medical experts like #DrFauci,fauci,FAVOR,pos
#DrFauci must break from Trump. Immediately. #COVID19,fauci,FAVOR,pos
"Dr. Fauci is so adorable in his mask today. That poor man &amp; his family have been through so much. It’s shameful. There he is, still trying to help. Anyone else would have quit. #FauciIsAHero",fauci,FAVOR,pos
".@SRuhle @FoxNews As a registered nurse, I value the important expert public health guidance provided by #DrFauci &amp; the stupid #FoxNews idiots &amp; cult followers are dangerous the wrong minded public health critics raise the risk of themselves being #COVID19 infected",fauci,FAVOR,other
Did he just forget this briefing was about the #coronavirus and not $$$ for his greedy tiny hands @realDonaldTrump #SitDown where's #DrFauci,fauci,FAVOR,neg
"I don’t understand how this president wants to go toe-to-toe with not just a public health professional, but the nation’s top infectious disease specialist, regarding coronavirus and how we as a nation should be dealing with this. #IStandWithFauci",fauci,FAVOR,other
@Yamiche You could say to @realDonaldTrump it's possible mask requests have increased given the projected death rate from #Coronavirus according to #DrFauci and it is not normal for #healthcare workers to use one mask for multiple patients. #TrumpIsA_DANGER_ToAmerica #Trumpisabully,fauci,FAVOR,neg
#DrFauci #CDC &amp; infectious disease specialist are asking #Covid19 #coronavirus susceptible ppl to wear cloth #masks daily &amp; particularly in hotspots.  This is good advice &amp; it’s a #nudge. It’s part of a goal to #FlattenTheCurve &amp; every #leader should comply. #BehavioralEconomics,fauci,FAVOR,pos
"@realDonaldTrump Check your hometown stats. Testings gone up, cases down. How can that be? It's like a miracle! #TrumpVirus! #FauciIsAHero",fauci,FAVOR,neg
Thank you @CNN  #CNN for just  showing  the scientists in the  #coronavirus  #COVID19 update #WhiteHouseBriefing  we don't need #MAGA maggots rally free #trump campaign ad Need  to hear #DrFauci  #DrBirx,fauci,FAVOR,other
"@Liz_Cheney Wearing a mask can only help America resume some sense of ""normalcy."" It's either we want freedom to come and go as pleased without the fear of infection, or we don't.  #WearAMaskSaveALife #DrFauci",fauci,FAVOR,pos
#Trump 5/13 says Dr. #Fauci #DrFauci made “Not an acceptable answer?is outrageous ridicule. Trump for weeks been lying abt the number of #COVID19 deaths w a 2nd set of books. Today we found out he’s suppressed @CDCgov guidelines for #Coronavirus openings prepared before 4/24.,fauci,FAVOR,neg
@realDonaldTrump @elonmusk Can #DrFauci shed some light on the role @Tesla can play in stopping #Covid_19? #COVID19 #Fauci #FauciHero,fauci,FAVOR,pos
Listen to the experts. Wear a mask.  #DrFauciManOfTheYear #FauciIsAHero,fauci,FAVOR,pos
"Without a #vaccine for #Coronavirus what good does #flatteningthecurve do? Once we stop #SocialDistancing the infections will rise won’t they? Haven’t heard #DrFauci speak to that yet.  I want him to talk, not the #FakePresident. Im just a dummy pipefitter in need of an answer.",fauci,FAVOR,other
On the coronavirus I trust the advice of Dr. Fauci over @realDonaldTrump all day long. #COVID19 #DrFauci,fauci,FAVOR,pos
.@realDonaldTrump you are BONAFIDE dumb ass for going after America’s best infectious disease expert #DrFauci because he is telling the truth about #COVID19 You’re also a Crook for commuting convicting felon #RogerStone because he has the goods on you #VoteTrumpOut2020,fauci,FAVOR,neg
I love Dr. Fauci. That’s it. That’s the tweet. #DrFauci #coronavirus #WhiteHouseBriefing,fauci,FAVOR,pos
Number one in cases and deaths so #derangeddonald needs to blame #DrFauci. After 5 months @realDonaldTrump might wear a mask! @CNN @MSNBC @gtconway3d @TheRickWilson @crampell @sarahcpr,fauci,FAVOR,neg
Trump: ''The cure can't be worse than the problem.''  Fact: Trump's Easter ''cure'' will make the problem WORSE...  #DrFauci #DrFauciIsANationalHero #coronavirus #CoronavirusOutbreak #pandemic #COVID19 #COVID?9 #Covid_19 #TrumpVirus #TrumpLiesPeopleDie #EasterMassacre,fauci,FAVOR,neg
Dr. Fauci is going against Trump right in front of his face. Live. In the press conference. They HATE to see it. #DrFauci #COVID19 #TheWhiteHouse,fauci,FAVOR,neg
@TonyFratto #HundoP!!This attack on #Fauci is absolutely fascist! It's disgusting. send #PeterNavarro to the #COVID19 #ICU and have him clean bedpans so that he can gain some humility and not be such an ignorant jerk #FauciIsAHero #FauciHero,fauci,FAVOR,other
