Text,Target,Stance,Sentiment
Thank you to Dr. Fauci for stepping up to @realDonaldTrump and calling him out on his BULLSHIT. Thank You for being a leader to those who wanna take COVID-19 serious.  #ThankYouDrFauci,fauci,FAVOR,pos
@RudyGiuliani @babynetman Fauci is running his mouth to no end and stepping all over the comments he made  before he made his latest comments. Maybe he should give his mouth a break. He doesn't know any more about the #ChinaVirus than my personal physician. #FauciTheFraud,fauci,AGAINST,neg
"I don't think that pooling the COVID testing is a bad thing. Coming from lab sciences and knowing a lot of proposed and currently used assays, this is a wise choice in a pandemic seeing no clear cut end. #ThankYouDrFauci",fauci,NONE,pos
Y’all want schools to shutdown but your kids are all over the streets with no masks 😒 #SchoolsMustShutdown,school closures,AGAINST,neg
"@morethanmySLE 😷 Because I don’t say “fuck you?to everyone when I leave my house, I wear a mask. #IStandWithFauci",fauci,NONE,other
@Timewalkproject @BBCNormanS @BBCNews A lot less palaver than being hooked up to a life support machine!  #WearAMask #WearAMaskSaveALife,face masks,FAVOR,pos
@donwinslow They can open schools as much as they want. I will NOT risk my child. #NotMyChild,school closures,FAVOR,neg
@SexCounseling Of course! #FireFauci,fauci,NONE,other
#lockdown kills people !   #OPENAMERICANOW,stay at home orders,AGAINST,neg
"@CityOfDubuque Why is it the only people I know with positive test results were those who did not even take the test?! Same story, they had an appointment, did not show yet received a letter w/positive #MAGA #KAG #WWG1WGA_GLOBAL #Patriots #PatriotsUnited #America #Iowa #COVID19 #FauciFraud",fauci,NONE,neg
"#DrFauci  -US/Brazil lead world in # cases &amp; deaths -US/Brazil flaunt science/data -other countries flattened curve &amp; reopening -they wear masks, social distance, follow protocol  Proof guidelines &amp; masks work.  Covidiots kill.",fauci,FAVOR,other
"So we are preparing for the annual normal flu season by encouraging people to immunise  we are preparing for a possible 2nd wave of #covid19 with its 99.98% recovery rate  by threatening Lockdowns ,Quarantines, school closures ,face masks etc  you couldnt make it up🤔  #nomasks",face masks,AGAINST,neg
"@cruiseexplorer @Delta I am DONE with you maskies. The next person who asks ""Where's your mask"" is gonna learn swift justice. I won't back down. You all want a war? You got one! #NoMasks",face masks,AGAINST,neg
"@BillyMcDonald2 @chuckwoolery If in doubt, don't trust @chuckwoolery.  Visit the CDC website instead.  #WearAMask",face masks,NONE,neg
@TimRunsHisMouth Parents in LA need to enroll their kids in charter &amp; private schools now and tell the LATU to stuff it! #LATU clearly hates children if they want to take away a family's choice of which school is best for their child. Unionless schools with merit pay all the way! #OpenSchools,school closures,AGAINST,neg
