Text,Target,Stance,Sentiment
@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Surgeons &amp; nurses wear them for hours every day standing up w/o breaks during surgeries. Cowgirl up. #WearAMask,face masks,FAVOR,pos
I try to be unbiased on my Twitter.  Which is why I’m saying Wear A Mask.  Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human.  We all have to do our part to slow the spread of COVID-19.  #WearAMask,face masks,FAVOR,pos
@GOPLeader So 9 out of 10 members of Congress with Covid-19 is a Republican. Doesn’t that antidotal added to science tell you something? Covid-19 doesn’t care about your politics but the politics of the Republican Party have made it worse. #WearADamnMask,face masks,FAVOR,neg
@AvantiWestCoast I’m in coach F en route to London Euston from Sandwell &amp; Dudley and two people opposite me do not have a facemask on? What is the process as I feel that it is irresponsible and also they’re not following the strict guidelines like others. #covid19 #masks,face masks,FAVOR,neg
@Placed2nd @AngelaBelcamino Omg people say I have to wear a mask and I'm crying because I have to wear a mask to save lives boo hoo!! MAGAts are stupid!!! #WearADamnMask,face masks,FAVOR,neg
@Lowes employee correct mask wearing 100% Customer mask wearing 90% Customer correct mask wearing 50% #coveryournose 😷 😷 😷  Special shoutout to the woman wearing a chin guard 😡 #WearADamnMask,face masks,FAVOR,pos
"@Learning2GetBy What a bunch of hillbillies! That asshole  @DerekSloanCPC Is proud to show his supporters! 😂😂😂 it’s no Mensa meeting. And not a mask in site, wow, what brilliance! #canpoli #Manitoba #WearADamnMask",face masks,FAVOR,neg
"@KrisTStacey1 @Walmart What’s Schantz.   The Democrat Governors of WA and NY have both done a great job combatting #COVID19..  The Democrat mayor of NYC is a damn idiot tho.  Don’t be a #COVIDIOT, Kris.  #WearAMask",face masks,FAVOR,neg
"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS #WearADamnMask",face masks,FAVOR,neg
"People who like to sew: a fat quarter of fabric is the perfect size to make two pleated masks :) cut it in half then in half again and double up two squares to make one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing #WearAMask",face masks,FAVOR,pos
"@DrNickCrombie Dr Nick, I agree it’s brilliant...but I’m disappointed that so many comments here show that either people lack a sense of humour!  and/or don’t get how essential both vaccinations and mask wearing are for our survival! Shocking! 😂🤬  #WearADamnMask  #MasksSaveLives  #MasksOn",face masks,FAVOR,other
Is there still a pandemic or not? Everyone out there having their best summer life and I'm like this sucks #socialdistancing #Covid_19 #WearADamnMask,face masks,FAVOR,neg
Is it lost on anyone that the exact same people who bitch and moan and refuse to where a mask to save another human life are the EXACT SAME people who doggedly defend the 2nd amendment after 50 people get shot dead by an AK-47? #therightiswrong #COVID?9 #WearADamnMask,face masks,FAVOR,neg
"A guy with no mask just knocked on my door. I have big loud dogs, he backed away. I stuck my head out and he yelled across the yard. He's selling frozen beef. Holy hell, he came to my door with no mask. #WearADamnMask",face masks,FAVOR,neg
"Y’all, wearing a mask is great. I can mouth the words to the weird song I have in my head and no one looks at me funny. #WearADamnMask",face masks,FAVOR,pos
"It's ironic that some people refuse to wear a mask because they say it takes away their freedom, but when you do wear a mask, you have the freedom to go about anywhere &amp; in any store you want to.  Please #WearAMask so we can beat this, then none of us will have to #WearADamnMask",face masks,FAVOR,pos
"Over 155,000 Americans have succumbed to Covid-19 and too many more will.  Your right to not wear a mask is disrespectful to all front line workers and your fellow citizens.   Your right to not wear a mask contributes to our country’s horrific toll.  #WearAMaskSaveALife",face masks,FAVOR,neg
"?frickin?idea what they’re talking about and how people like her are part of the problem. Sure, masks aren’t the cure for #COVID19 . But it certainly helps in being a preventative from the spread of the virus. So, again, #WearAMaskPlease. #WearAMaskSaveALife",face masks,FAVOR,other
