Text,Target,Stance,Sentiment
".@realDonaldTrump, #DrFauci must be permitted to testify before the #AppropriationsCommittee. #WeThePeople have faith in him, as well as in his education, experience, &amp; knowledge. #WhatAreYouTryingToHide? #Covid19 @NitaLowey @AppropsDems @HouseAppropsGOP",fauci,FAVOR,pos
"@BFoley82, Fauci's opening pitch showed he is the consummate professional. He didn't want anyone to catch anything. #TrumpVirus2020 #FauciHero",fauci,FAVOR,pos
@PeterNavarro45 I am extending an invite to you and all your cronnies to #Brooklyn #NYC to repeat the shit you have been talking about our boy @DrAnthonyF I will pay for all of your medical bills afterwards.  #FlattenTheCurve #COVID19 #pandemic #FauciIsAHero,fauci,FAVOR,neg
Rand Paul asking the hard questions... True #Patriot. Thank you.  #COVID19 #OPENAMERICANOW #WWG1WGA #TheGreatAwakening #DrFauci #RandPaul,fauci,FAVOR,pos
It’s time for #DrFauci to resign from the #TrumpPressConference and go on his own. He should testify before Congress and hold his own pressers about the #coronavirus Right now he is the most trusted man in the USA. #COVID19 #VoteBlue2020 #Biden #wiunion,fauci,FAVOR,pos
"After the weird #RushLimbaugh #SOTU Medal of Freedom thing, @realDonaldTrump fix its image by awarding it to #DrAnthonyFauci . @JoeBiden will YOU get it done? Ask @DrBiden! #Biden2020 #COVID19 #CovidUpdates #MAGA2020 #Fauci #FauciMedalOfFreedom @FauciFan #DrFauci   #AnthonyFauci",fauci,FAVOR,pos
@clarityx @michaelaltneu @GavinNewsom Oh hello Dr Lady. You really MUST contact #DrFauci with your proclamation on #masks So many #scientists and they’ve all been wrong. Thank goodness we have brainiacs like you to guide us #WearADamnMask,fauci,FAVOR,neg
Lack of testing is a huge Trump failure #TrumpLiesAmericansDie  #StandWithFauci,fauci,FAVOR,neg
"@realDonaldTrump Why do you continue to be such an idiot? Testing has nothing to do with more cases. The cases are there; it’s just whether you are aware of them or not. If you aren’t aware, people contribute to additional spread. This is why we’re not at better here. Believe science. #FauciHero",fauci,FAVOR,neg
"Science is real. Scientific and public health experts, including the trusted Dr. Anthony Fauci, are vital to combating COVID-19 and safely reopening the US. It’s important for all Americans to stand strongly behind them and take their advice. #FollowTheScience #IStandWithFauci",fauci,FAVOR,pos
#Trump says #DrFauci has made mistakes? Fucking seriously? #DonaldTrump and #Pence are killing #Americans. Masks have a time and pkace”another idiotic statement from the #President. #MeetThePress #MTP,fauci,FAVOR,neg
