Text,Target,Stance,Sentiment
"Young people are dying in schools, please close those doors. #SchoolsMustShutdown",school closures,FAVOR,neg
@RepRalphNorman @grahamblog @SenatorTimScott  @scsenategop #coronavirus #southcarolina Close the schools! #CloseTheSchools,school closures,FAVOR,neg
"Like what are we going to do if we get it, is there a cure for coronavirus? no. cancel school. We don’t want more children getting sick. @ScottMorrisonMP #Coronavid19 #coronavirus #coronavirusaustralia #Covid_19australia #CloseTheSchools",school closures,FAVOR,neg
"tRUmpublicans think it's OK to rape, cage, starve, gun-down or expose our children to a deadly pandemic but lose their shit about abortion.  #SchoolReopening",school closures,FAVOR,neg
"@redfreedom2020 @donwinslow Taught 30 years. I can tell you that schools are a Petri dish for germs. Kids don’t follow/understand hygiene standards like adults do, and they constantly touch one another. Normally our bodies fight it off. Not with Covid. #NotMyChild",school closures,FAVOR,neg
we request our respected Prime Minister  @ImranKhanPTI and our education minister @Shafqat_Mahmood to announce opening of schools after Eid. #OpenSchools,school closures,FAVOR,pos
I don’t care about the coronavirus I just want to get out of this my dumbass school lmao #CloseTheSchools,school closures,FAVOR,neg
Teachers put in a lot of effort to conduct online class. Listen to the teacher and it's a good mode of education in the current scenario. How do we expect schools to pay them without any fees.  #SaveOurSchools #RightToLearn,school closures,FAVOR,pos
"@apiper13 @nowthisnews Schools aren't ready.I know when my children get sick i always quarantined them in rooms.Yet I still get it We knw It goes thru the household maybe kids are more ASymptomatic for now until it mutates again &amp; Give it to Others, Teachers,Staff it'll spreads over &amp; over. #NotMyChild",school closures,FAVOR,neg
@MSNBC All countries in the western world opening schools but let's see..we don't follow the science to open schools but we followed science to shut down..oh ok now that makes sense. #OpenSchools,school closures,FAVOR,neg
"When trump says,""You don't have to wear a mask."" I'm wearing a mask. When trump says""Covid is a hoax."" I know it's real. When trump says""Beaches,bars &amp;casinos must open."" I'm staying home.  When trump insists,""Children should go to school,"" during a pandemic. I shout #NotMyChild",school closures,FAVOR,neg
Just close the schools and promote each and every learner i mean this education system is all about producing factory faults. #SchoolsMustShutdown,school closures,FAVOR,neg
"Grown ass people are constantly throwing temper tantrums over wearing a mask to grocery shop for 30 mins, but kids, especially non neurotypical kids, can absolutely wear a mask for 7 hours a day to go back to school while the politician's kids stay home. #NotMyChild",school closures,FAVOR,neg
Y'all have the highest school shooters numbers and the highest #COVID19 numbers but y'all want kids to go back to school.  #NotMyChild,school closures,FAVOR,neg
Schools have taken a lot of effort in setting up the online classes. It's a new era of the digital world and we need to support it and not spoil it.#SaveOurSchools,school closures,FAVOR,pos
