Text,Target,Stance,Sentiment
@sanket True that! In fact the Virus is in its much stronger avatar and it probably has learnt to adapt to the weather. This one is more dangerous than the original version. We need more preparedness and more precautions.  #CoronaVirus #StaySafeStayHome,stay at home orders,FAVOR,pos
"@thegoodgodabove &amp; some AHOLE from #Texas just drove all way to #Montana to start Coughing uncontrollably in next aisle over from me, heard him keep coughing until a Store Manager ASKED HIM TO LEAVE... i counted 7 different Out-of-State Plates in 3blocks... WTF #StayAtHomeSaveLives",stay at home orders,FAVOR,neg
@FoxNews Protecting the vulnerable is a big part of the plumeting of death rates.   #OPENAMERICANOW,stay at home orders,FAVOR,pos
"@Matthew_Xing @thehill ""During a highly infectious and deadly global pandemic maybe we want people to stay home you stupid POS."" #DontDieForWallStreet  #StayAtHomeSaveLives",stay at home orders,FAVOR,neg
#FridayFeeling  #FridayMotivation  👉👉Live Today As it is Your LasT day🙄🙄😇😇😇 #StayHomeStaySafe  #SaferAtHome,stay at home orders,FAVOR,pos
A good friend is sobbing to my wife as her aunt is dying of COVID-19 because she had the nerve to get a kidney stone and have to go to a hospital. So with all due respect (which is none) fuck all of you ghouls who want to #ReopenAmericaNow.,stay at home orders,FAVOR,neg
@anushkasen_04 Happy birthday the cutest girl in the world 🥰🥰😇 . . . . . #StayAtHome #StaySafeStayHome,stay at home orders,FAVOR,pos
@News24 @City_Press This is a very real danger I see in people around me. Please observe all health protocols. It could save your life. #StayAtHomeSaveLives,stay at home orders,FAVOR,other
#Florida @GovRonDeSantis is an irresponsible nut job.   #Covid19 #WearAMask #StaySafeStayHome,stay at home orders,FAVOR,neg
@abidlll @diprjk @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI @PTI_News @ddnews_jammu @ddnewsSrinagar @HealthMedicalE1 Brother we ourselves are as much responsible for our health n wellbeing. We should follow all the guidelines wear face Masks and do our bit in this fight against Covid19. #StaySafeStayHome,stay at home orders,FAVOR,pos
COVID-19 Ireland Day 26: We applauded our health workers. A long over due reward.  #Coronavirusireland #COVID19IRELAND #Coronacrisis #StayAtHomeSaveLives,stay at home orders,FAVOR,pos
"@DrAlGrossAK #Alaska opens up, allows visitors and GUESS what happens⁉️ #COVID19 #SURGE #WTF Where is “Leadershiptaking us - to the #Morgue ⁉️😱#WearAMask #StaySafeStayHome",stay at home orders,FAVOR,neg
Extremely concerned to hear about the news of Shri @SrBachchan Ji &amp; @juniorbachchan testing COVID Positive. My prayers for their speedy &amp; safe recovery. We look forward to seeing them hale and hearty.  Once Again my appeal to everyone - #WearAMask #StaySafeStayHome,stay at home orders,FAVOR,pos
Covid19 is real. I just lost cousing brother now. #StaySafeStayHome,stay at home orders,FAVOR,neg
I hate that I have to add the words “When we get to meet each other....talking to some of my closest friends.  #WearAMask #WearADamnMask #StaySafeStayHome,stay at home orders,FAVOR,neg
Can @NAkufoAddo please lockdown. At this point it is the right call! #LockdownNow,stay at home orders,FAVOR,pos
